question_id,category_1,category_2,category_3,question_text_original,question_text_rev,variants_1,variants_2,variants_3,variants_4,variants_5,variants_6,variants_7,variants_8,variants_9,variants_10,variants_11,variants_12,variants_13,variants_14,variants_15,variants_16,variants_17,variants_18,,,,,variants_19,,,,answer
56af6bb2e0e2eee2aa000025,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,"Ho sottoscritto la Polizza Viaggi Nostop Annuale e vorrei disdirla, come posso procedere?",Come faccio a disdire la polizza Viaggi Nostop Annuale?,Come ottenere la disdetta della Polizza Nostop Annuale?,Quali sono le istruzioni da seguire per disdire la polizza Viaggi Nostop Annuale?,Come comunicare la disdetta della polizza Viaggi Nostop Annuale?,Come posso inviare la disdetta della polizza Viaggi Nostop Annuale?,Quali sono le modalità per disdire la mia polizza Viaggi Nostop Annuale?,,,,,,,,,,,,,,,,,,,,,,"Puoi inviare richiesta di disdetta della polizza con lettera raccomandata indirizzata a Europ Assistance Spa – Piazza Trento 8, 20135 Milano almeno 30 giorni prima della data di scadenza. In alternativa puoi inviare richiesta anche via fax al numero 02.58.47.70.34 o via email all'indirizzo servizio.clienti@europassistance.it"
56af6bb7e0e2eee2aa000031,Viaggi Nostop Vacanza,Richiesta Assistenza,Viaggi,Sono in possesso di una polizza Viaggi Nostop Vacanza: come devo procedere per ottenere la prestazione Assistenza Domiciliare Integrata?,"Ho una polizza Viaggi Nostop Vacanza, come posso ottenere l'assistenza domicialiare integrata?","Se ho sottoscritto la polizza Viaggi Nostop Vacanza, come posso ottenere il servizio di assistenza domiciliare integrata?",Sono in possesso di una polizza Viaggi Nostop Vacanza: come devo procedere per ottenere la prestazione assistenza domiciliare integrata?,,,,,,,,,,,,,,,,,,,,,,,,,"Per la prestazione Assistenza Domiciliare Integrata in caso di sinistro dovrai prendere contatto con la Struttura Organizzativa almeno 48 ore prima delle previste dimissioni dall'Istituto di Cura, chiamando il numero di telefono 02.58.28.69.82 e inviando via fax al numero 02.58.38.45.78 l'opportuna certificazione medica con prescrizione dell'assistenza domiciliare.\nPer qualunque informazione aggiuntiva ti invitiamo a consultare il fascicolo informativo relativo al prodotto o contattarci al numero verde 800.44.33.22."
56af6bb8e0e2eee2aa000034,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,Quando è conveniente stipulare la formula annuale Multiviaggio?,Quali sono le condizioni della polizza Multiviaggio?,Per chi è pensata la polizza Multiviaggio?,Quando è conveniente stipulare la polizza Viaggi Nostop Annuale Multiviaggio?,Per chi è consigliabile scegliere la formula Multiviaggio,La polizza Viaggi Nostop Annuale Multiviaggio copre anche i viaggi di lavoro?,,,,,,,,,,,,,,,,,,,,,,,"La formula Multiviaggio è indicata per tutti coloro che hanno in programma di compiere più viaggi nell'arco dell'anno, purchè ogni singolo viaggio non superi i 90 giorni consecutivi. Sono coperti i viaggi effettuati sia a scopo turistico, che di studio o per lo svolgimento di attività professionali non pericolose."
56af6bb9e0e2eee2aa000037,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,La polizza Viaggi Nostop Annuale Multiviaggio prevede il rinnovo automatico?,Come si rinnova la polizza  Viaggi Nostop Annuale Multiviaggio?,La polizza Viaggi Nostop Annuale Multiviaggio prevede il rinnovo automatico?,Come funziona il rinnovo della polizza Nostop Annuale Multiviaggio?,Quali sono le modalità di rinnovo della formula Multiviaggio?,Come faccio a rinnovare la polizza Viaggi Nostop Annuale Multiviaggio?,,,,,,,,,,,,,,,,,,,,,,,"Sì, la polizza in versione Annuale Multiviaggio si rinnova tacitamente alla scadenza. Se non intendi rinnovarla, puoi inviare richiesta di disdetta della polizza con lettera raccomandata indirizzata a Europ Assistance Spa – Piazza Trento 8, 20135 Milano almeno 30 giorni prima della data di scadenza. In alternativa puoi inviare richiesta anche via fax al numero 02.58.47.70.34 o via email all'indirizzo servizio.clienti@europassistance.it"
56af6bbae0e2eee2aa00003a,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,Le indennità ed i rimborsi per la polizza Viaggi Nostop Vacanza in che valuta vengono corrisposti?,Qual è la valuta con cui vengono corrisposti i rimborsi e le indennità previste dalla polizza Viaggi Nostop Vacanza?,In quale valute verranno emessi i rimborsi previsti dalla polizza Viaggi Nostop Vacanza?,"In caso di viaggio fuori dall'Unione Europea, come verrà calcolato il rimborso per la polizza Viaggi Nostop Vacanza?",In caso di viaggio all'estero in quale valuta mi verrà corrisposto il rimborso per la polizza Viaggi Nostop Vacanza?,,,,,,,,,,,,,,,,,,,,,,,,"In Euro. Nel caso di spese sostenute in Paesi non appartenenti all'Unione Europea o appartenenti alla stessa ma che non abbiano adottato l'Euro come valuta, il rimborso verrà calcolato al cambio rilevato dalla Banca Centrale Europea relativo al giorno in cui l'assicurato ha sostenuto le spese."
56af6bbbe0e2eee2aa00003d,Viaggi Nostop Vacanza,Rimborso Sinistri,Viaggi,Ho una polizza Viaggi Nostop Vacanza e devo chiedere un rimborso: ci sono delle franchigie o degli scoperti sulle spese mediche che ho sostenuto?,La polizza Viaggi Nostop Vacanza prevede una franchigia?,Ho una polizza Viaggi Nostop Vacanza e devo chiedere un rimborso: ci sono delle franchigie o degli scoperti sulle spese mediche che ho sostenuto?,Quale tipo di franchigia prevede la polizza Viaggi Nostop Vacanza?,Qual è la franchigia della polizza Viaggi Nostop Vacanza?,,,,,,,,,,,,,,,,,,,,,,,,"Il rimborso viene effettuato, per ogni sinistro, applicando una franchigia fissa e assoluta di € 50,00."
56af6bbce0e2eee2aa000040,Viaggi Nostop Vacanza,Richiesta Assistenza,Viaggi,Come interviene Europ Assistance in caso di necessità di spese mediche?,Come interviene Europ Assistance in caso di necessità di spese mediche durante un viaggio?,Come si deve agire in caso di necessità di urgenti spese mediche nel corso di una vacanza?,A chi mi devo rivolgere in caso di necessità di spese mediche?,,,,,,,,,,,,,,,,,,,,,,,,,"Se in seguito ad una malattia improvvisa o un'infortunio avvenuti nel corso del viaggio, hai necessità di sostenere sul posto delle spese per cure o interventi chirurgici urgenti e non procrastinabili, dovrai contattare la Centrale Operativa che provvederà a prendere in carico le spese. Nei casi in cui non fosse possibile effettuare il pagamento diretto, le spese saranno rimborsate in seguito all'invio della documentazione attestante il pagamento solo se preventivamente autorizzate dalla Centrale Operativa."
56af6bbde0e2eee2aa000043,Viaggi Nostop Vacanza,Rimborso Sinistri,Viaggi,"Mi rimborsate solo le spese mediche sostenute in viaggio, oppure anche quelle sostenute dopo il rientro?",Il rimborso delle spese mediche include anche quelle sostenute dopo il rientro dal viaggio?,"Mi rimborsate solo le spese mediche sostenute in viaggio, oppure anche quelle sostenute dopo il rientro?",Rimborsate anche le spese mediche sostenute al rientro dal viaggio?,Come funziona il rimborso delle spese mediche?,Qual è la procedura di rimborso relativa alle spese mediche?,,,,,,,,,,,,,,,,,,,,,,,"Solo in caso di infortunio sono comprese in garanzia anche le ulteriori spese per le cure ricevute dopo il rientro al luogo di residenza, purché effettuate nei 45 giorni successivi all'infortunio stesso. Negli altri casi la garanzia copre solo le spese sostenute in viaggio."
56af6bbde0e2eee2aa000046,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,"Ho una polizza Viaggi Nostop Vacanza: nel caso di infortunio, esiste un'indennità che mi risarcisce?",Ho una polizza Viaggi Nostop Vacanza: in caso di infortunio è previsto un rimborso?,Nella polizza Viaggi Nostop Vacanza sarò risarcito in caso di infortunio?,Come posso fare per essere risarcito in caso di infortunio nel corso del viaggio?,Esiste una copertura per gli eventuali infortuni occorsi durante il viaggio?,La polizza Viaggi Nostop Vacanza risarcisce gli infortuni subiti nel corso del viaggio?,,,,,,,,,,,,,,,,,,,,,,,"Si, se hai sottoscritto l'integrazione infortuni in viaggio collegata al pacchetto base della Viaggi Nostop Vacanza. L'integrazione Infortuni in Viaggio è acquistabile solo nella soluzione per viaggi di breve durata."
56af6bbee0e2eee2aa000049,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,Cosa copre la garanzia Infortuni in Viaggio?,"Cosa copre la garanzia ""Infortuni in Viaggio""?","Quali sono le condizioni della garanzia ""Infortuni in Viaggio""?","Quali sono le limitazioni della garanzia ""Infortuni in Viaggio""?","Come funziona la garanzia ""Infortuni in Viaggio""?","In cosa consiste la garanzia ""Infortuni in Viaggio""?","Quale copertura offre la garanzia ""Infortuni in Viaggio""?",,,,,,,,,,,,,,,,,,,,,,"La garanzia copre gli infortuni che si verificano durante i viaggi nello svolgimento di ogni attività che non abbia carattere professionale, e garantisce un capitale nel caso in cui l'infortunio causi la morte o un'invalidità permanente."
